Year,Destination,Origin,Number,LatDest,LongDest,LatOrigin,LongOrigin
2020,Afghanistan,Pakistan,102500,33.93911,67.709953,30.375321,69.345116
2020,Afghanistan,Palau,0,33.93911,67.709953,7.51498,134.58252
2020,Afghanistan,Palestine,0,33.93911,67.709953,31.952162,35.233154
2020,Afghanistan,Panama,0,33.93911,67.709953,8.537981,-80.782127
2020,Afghanistan,Papua New Guinea,0,33.93911,67.709953,-6.314993,143.95555
2020,Afghanistan,Paraguay,0,33.93911,67.709953,-23.442503,-58.443832
2020,Afghanistan,Peru,0,33.93911,67.709953,-9.189967,-75.015152
2020,Afghanistan,Philippines,0,33.93911,67.709953,12.879721,121.774017
2020,Afghanistan,Poland,0,33.93911,67.709953,51.919438,19.145136
2020,Afghanistan,Polynesia,0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Portugal,0,33.93911,67.709953,39.399872,-8.224454
2020,Afghanistan,Puerto Rico,0,33.93911,67.709953,18.220833,-66.590149
2020,Afghanistan,Qatar,0,33.93911,67.709953,25.354826,51.183884
2020,Afghanistan,Reunion,0,33.93911,67.709953,-21.115141,55.536384
2020,Afghanistan,Romania,0,33.93911,67.709953,45.943161,24.96676
2020,Afghanistan,Russia,0,33.93911,67.709953,61.52401,105.318756
2020,Afghanistan,Rwanda,0,33.93911,67.709953,-1.940278,29.873888
2020,Afghanistan,Saint Barthlemy,0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Saint Helena,0,33.93911,67.709953,-24.143474,-10.030696
2020,Afghanistan,Saint Kitts and Nevis,0,33.93911,67.709953,17.357822,-62.782998
2020,Afghanistan,Saint Lucia,0,33.93911,67.709953,13.909444,-60.978893
2020,Afghanistan,Saint Martin (French part),0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Saint Pierre and Miquelon,0,33.93911,67.709953,46.941936,-56.27111
2020,Afghanistan,Saint Vincent and the Grenadines,0,33.93911,67.709953,12.984305,-61.287228
2020,Afghanistan,Samoa,0,33.93911,67.709953,-13.759029,-172.104629
2020,Afghanistan,San Marino,0,33.93911,67.709953,43.94236,12.457777
2020,Afghanistan,Sao Tome and Principe,0,33.93911,67.709953,0.18636,6.613081
2020,Afghanistan,Saudi Arabia,0,33.93911,67.709953,23.885942,45.079162
2020,Afghanistan,Senegal,0,33.93911,67.709953,14.497401,-14.452362
2020,Afghanistan,Serbia,0,33.93911,67.709953,44.016521,21.005859
2020,Afghanistan,Seychelles,0,33.93911,67.709953,-4.679574,55.491977
2020,Afghanistan,Sierra Leone,0,33.93911,67.709953,8.460555,-11.779889
2020,Afghanistan,Singapore,0,33.93911,67.709953,1.352083,103.819836
2020,Afghanistan,Sint Maarten (Dutch part),0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Slovakia,0,33.93911,67.709953,48.669026,19.699024
2020,Afghanistan,Slovenia,0,33.93911,67.709953,46.151241,14.995463
2020,Afghanistan,Solomon Islands,0,33.93911,67.709953,-9.64571,160.156194
2020,Afghanistan,Somalia,0,33.93911,67.709953,5.152149,46.199616
2020,Afghanistan,South Africa,0,33.93911,67.709953,-30.559482,22.937506
2020,Afghanistan,South Korea,0,33.93911,67.709953,35.907757,127.766922
2020,Afghanistan,South Sudan,0,33.93911,67.709953,12.862807,30.217636
2020,Afghanistan,Spain,0,33.93911,67.709953,40.463667,-3.74922
2020,Afghanistan,Sri Lanka,0,33.93911,67.709953,7.873054,80.771797
