Year,Origin,Destination,Number,LongOrigin,LatOrigin,LongDest,LatDest
2020,Afghanistan,Puerto Rico,0,67.709953,33.93911,-66.590149,18.220833
2020,Afghanistan,Qatar,1599,67.709953,33.93911,51.183884,25.354826
2020,Afghanistan,Reunion,0,67.709953,33.93911,55.536384,-21.115141
2020,Afghanistan,Romania,44,67.709953,33.93911,24.96676,45.943161
2020,Afghanistan,Russia,5090,67.709953,33.93911,105.318756,61.52401
2020,Afghanistan,Rwanda,0,67.709953,33.93911,29.873888,-1.940278
2020,Afghanistan,Saint Barthlemy,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Saint Helena,0,67.709953,33.93911,-10.030696,-24.143474
2020,Afghanistan,Saint Kitts and Nevis,0,67.709953,33.93911,-62.782998,17.357822
2020,Afghanistan,Saint Lucia,0,67.709953,33.93911,-60.978893,13.909444
2020,Afghanistan,Saint Martin (French part),0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Saint Pierre and Miquelon,0,67.709953,33.93911,-56.27111,46.941936
2020,Afghanistan,Saint Vincent and the Grenadines,0,67.709953,33.93911,-61.287228,12.984305
2020,Afghanistan,Samoa,0,67.709953,33.93911,-172.104629,-13.759029
2020,Afghanistan,San Marino,0,67.709953,33.93911,12.457777,43.94236
2020,Afghanistan,Sao Tome and Principe,0,67.709953,33.93911,6.613081,0.18636
2020,Afghanistan,Saudi Arabia,481215,67.709953,33.93911,45.079162,23.885942
2020,Afghanistan,Senegal,0,67.709953,33.93911,-14.452362,14.497401
2020,Afghanistan,Serbia,0,67.709953,33.93911,21.005859,44.016521
2020,Afghanistan,Seychelles,0,67.709953,33.93911,55.491977,-4.679574
2020,Afghanistan,Sierra Leone,0,67.709953,33.93911,-11.779889,8.460555
2020,Afghanistan,Singapore,0,67.709953,33.93911,103.819836,1.352083
2020,Afghanistan,Sint Maarten (Dutch part),0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Slovakia,194,67.709953,33.93911,19.699024,48.669026
2020,Afghanistan,Slovenia,36,67.709953,33.93911,14.995463,46.151241
2020,Afghanistan,Solomon Islands,0,67.709953,33.93911,160.156194,-9.64571
2020,Afghanistan,Somalia,0,67.709953,33.93911,46.199616,5.152149
2020,Afghanistan,South Africa,111,67.709953,33.93911,22.937506,-30.559482
